;alpha_2018;Alpha_2019;Dch_2018;Dch_2019;Hst_2018;Hst_2019;Stl_2018;Stl_2019;SHL_2018;SHL_2019;SHT_2018;SHT_2019;Fs_2018;Fs_2019
RISING STAR;99.54;;5.18;;8.32;;1.15;;1.03;1.03;0.97;1.03;67.9;64.1
RITA STAR;96.96;;2.47;;7.62;;1.22;;1.08;1.06;1.02;1.05;67.2;67.1
ROMAGNA 3000;;;;;;;;;1.03;1.02;1.03;0.99;74.7;71.7
ROMAGNA BIG;93.2;121.97;7.06;2.65;9.16;9.15;1.12;1.2;0.99;0.97;1;1.02;70;73.5
ROMAGNA BRIGHT;94.39;;3.21;;10.9;;1.23;;1.08;1.07;1.06;1;73.1;78
ROMAGNA GOLD;;;;;;;;;1.03;0.95;1.05;0.97;70.7;70.1
ROSA DEL WEST;92.9;;4.5;;10.11;;1.14;;1.05;1.04;1.03;1.02;66.9;73.1
ROSSA DI TRENTI;89.94;;4.94;;9.58;;1.14;;0.99;0.99;0.97;1.01;73.4;77.9
ROYAL ESTATE;;;;;;;;;1.11;1.14;1;1.09;68.8;74.6
ROYAL GLORY;;86.22;;2.27;;10.9;;1.21;1.03;1.07;1.03;1.16;72.1;74.5
ROYAL JIM;;;;;;;;;1.09;1.2;1.04;1.08;70.6;75.7
ROYAL MAJESTIC;92.22;;3.33;;10.16;;1.12;;1.01;1.1;0.99;1.11;77;77.3
ROYAL PRIDE;;;;;;;;;1.03;1.08;1.01;1.03;71.4;73.4
ROYAL SUMMER;;;;;;;;;1.07;1.06;1.03;1.04;70.7;74.8
ROYAL TIME;88.93;77.6;2.54;3.42;13.2;14.45;1.18;1.3;1.05;1.04;1.02;1.02;70.6;67.6
RUBIA;106.78;;4.86;;10.02;;1.22;;1.09;1.09;1.04;1.04;70.1;70.1
RUBY RICH;95.26;90.53;2.88;3.75;12.3;5.9;1.11;1.17;1.09;1.13;1;1.11;68.4;73.7
S6699;93.99;91.62;1.46;1.34;7.83;8.04;1.13;1.14;0.92;0.94;1.01;0.95;61.8;67.6
SAGITTARIA;103.86;101.84;3.01;2.92;8.15;8.09;1.11;1.11;1.12;1.19;1.04;1.09;67.6;72.2
SANT ANNA BALDUCCI;104.19;105.06;3.71;3.48;9.62;9.16;1.03;1.04;1.04;1.15;1;1.02;67.1;67
SENTRY;89.3;88.14;3;2.74;9.49;8.99;1.11;1.09;0.97;1.01;0.97;1.05;70.3;72.5
SOLE 2;107.23;91.37;3.15;1.69;8.47;9.15;1.06;1.25;1.12;1.18;1.02;1.09;65.1;59.8
SOLEADA;94.23;92.55;4.6;4.09;10.29;9.94;1.2;1.15;1.07;1.1;0.98;1.02;77.3;77.4
SUGAR TIME;95.84;92.94;4.85;2.44;10.04;9.38;1.13;1.18;1.13;1.14;1.01;1.06;71.7;75.2
SUMMER RICH;85.86;81.29;6.4;5.45;11.04;10.14;1.07;1.05;1.13;1.1;1.1;1.04;73.1;78.8
SWEET MELODY x WHITE GLORY;86.79;;2.91;;8.57;;1.16;;0.95;0.96;1;0.99;57.8;59.7
TARDIGOLD;77.61;;2.85;;9.73;;1.02;;0.96;1;0.98;0.96;61.6;63.4
